2003;English Translation of Leon-Paul Fargue's Poems;;English Translation of Leon-Paul Fargue's Poems;Anglais;Edwin Mellen Press;;
2007;Aya;Marguerite Abouet;Aya;Anglais;;;
2006;Aya;Marguerite Abouet;Aya of Yop City;Anglais;;;
2007;Requiem pour l'Est;Andrei Makine;Réquiem por el Este;Espagnol;Tusquets;Espagne;Fiction
2006;American Vertigo;Bernard-Henri Lévy;American Vertigo;Anglais;Gibson Square;;
2007;American Vertigo;Bernard-Henri Lévy;American Vertigo;Anglais;Random House USA;;
2006;American Vertigo;Bernard-Henri Lévy;American vertigo;Français;Random House USA;;
2001;Les Structures sociales de l'économie;Pierre Bourdieu;El "siglo" de la imágen analógica. Los hijos de Nadar;Espagnol;La Marca;;
2001;Les Structures sociales de l'économie;Pierre Bourdieu;Las estructuras sociales de la economía;Espagnol;Manantial;;
2005;Arthur et les Minimoys;Luc Besson;Arthur and the Minimoys;Anglais;HarperCollins Publishers Inc.;;
2006;Arthur et les Minimoys;Luc Besson;Arthur and the Minimoys;Anglais;HarperTrophy;;
2005;Arthur et les Minimoys;Luc Besson;亚瑟和迷你墨王国;Chinois;接力出版社;;
2009;Nos fantastiques années fric;Dominique Manotti;Affairs of State;Anglais;;;
2001;Adieux au Monde;;Memoirs of a Courtesan in Nineteenth-Century Paris;Anglais;University of Nebraska Press;;
2001;Adieux au Monde;;Memoirs of a Courtesan in Nineteenth-Century Paris;Anglais;Bison Books;;
1986;L'Amant;Marguerite Duras;悠悠此情;Chinois;漓江出版社;;
1997;L'Amant;Marguerite Duras;情人;Chinois;上海译文出版社;;
2006;L'Amant;Marguerite Duras;情人;Chinois;允晨文化;;
1985;L'Amant;Marguerite Duras;情人;Chinois;;;
1985;L'Amant;Marguerite Duras;情人;Chinois;;;
1986;L'Amant;Marguerite Duras;情人;Chinois;;;
2007;La Philosophie dans le boudoir;;Filosofía de tocador;Espagnol;Jorge A. Mestas;Espagne;Fiction
2000;Art et technique au XIXe et XX siècles;;Art and Technology in the 19th and 20th Centuries;Anglais;Zone Books;;
1998;Le Crime d'Olga Arbélina;Andrei Makine;Olga Arbelina bűne : regény;Hongrois;Ovo Ab;;
2002;Le Crime d'Olga Arbélina;Andrei Makine;奧嘉之罪;Chinois;皇冠文化出版有限公司;;
2002;Le Dit de Tianyi;François Cheng;The River Below;Anglais;Welcome Rain;;
2010;King Kong Théorie;Virginie Despentes;King Kong Theory;Anglais;The Feminist Press;;
2007;King Kong Théorie;Virginie Despentes;Teoría King Kong;Espagnol;Melusina;Espagne;Essais
1999;Ce que la nuit raconte au jour;Hector Bianciotti;밤이 낮에게 하는 이야기;Coréen;Premium Books 프리미엄북스;Corée du sud;Littérature
1995;Ce que la nuit raconte au jour;Hector Bianciotti;What the Night Tells the Day;Anglais;The New Press;;
1996;Ce que la nuit raconte au jour;Hector Bianciotti;What the Night Tells the Day;Anglais;The New Press;;
2000;Ce que la nuit raconte au jour;Hector Bianciotti;夜对昼如是说;Chinois;华夏出版社;;
1992;Femmes d'Alger dans leur appartement;;Women of Algiers in their Apartment;Anglais;University of Virginia Press;;
1999;Femmes d'Alger dans leur appartement;;Women of Algiers in their Apartment;Anglais;University of Virginia Press;;
2008;Face devant contre;;Face Before Against;Anglais;Litmus Press;;
2007;L'Alphabet des nuits;Jean-Euphèle Milce;Alphabet of the Night;Anglais;Pushkin Press;;
1997;Une femme;Annie Ernaux;امرأة وعشق بسيط;Arabe;دار شرقيات;;
